source_panel_id,role,review_unit_id,pair_id,mirror_unit_id,zone,source_face_count,source_triangle_ids,area_source_mm2,area_330mm_mm2,centroid_source_mm,centroid_330mm,description
MANQ001,removable_glow,GLOW_MANQ001,,,center_face,2,MANQ001-B MANQ001-A,1154.629,2597.915,0.000 -52.419 -31.795,0.000 21.697 117.308,Removable glow/light-transmitting panel selected in annotated Gate 1 SVG
MANQ002,integrated_opaque,,,,forehead,2,MANQ002-B MANQ002-A,933.175,2099.645,-19.632 39.013 64.052,-29.448 158.846 261.078,Default structural exterior facet
MANQ003,integrated_opaque,,,,forehead,2,MANQ003-B MANQ003-A,933.325,2099.980,19.652 39.013 64.052,29.478 158.846 261.078,Default structural exterior facet
MANQ006,integrated_opaque,,,,back,2,MANQ006-B MANQ006-A,3054.821,6873.347,0.000 100.656 -44.261,0.000 251.309 98.609,Default structural exterior facet
MANQ007,integrated_opaque,,,,bottom,2,MANQ007-B MANQ007-A,2541.296,5717.916,0.000 73.654 -72.392,0.000 210.806 56.412,Default structural exterior facet
MANQ008,integrated_opaque,,,,bottom,2,MANQ008-B MANQ008-A,8338.441,18761.491,0.000 9.250 -94.042,0.000 114.202 23.936,Default structural exterior facet
QUAD001,removable_glow,GLOW_QUAD001,,,center_face+right_cheek,2,QUAD001-A QUAD001-B,535.199,1204.199,17.326 -49.532 -36.096,25.989 26.028 110.856,Removable glow/light-transmitting panel selected in annotated Gate 1 SVG
QUAD002,integrated_opaque,,,,center_face,2,QUAD002-A QUAD002-B,386.492,869.606,8.530 -64.933 -57.470,12.796 2.927 78.795,Default structural exterior facet
QUAD003,removable_glow,GLOW_QUAD003,,,bottom+right_cheek,2,QUAD003-A QUAD003-B,997.709,2244.845,22.565 -58.440 -72.813,33.847 12.666 55.781,Removable glow/light-transmitting panel selected in annotated Gate 1 SVG
QUAD004,integrated_opaque,,,,center_face,2,QUAD004-A QUAD004-B,387.373,871.589,-8.467 -64.933 -57.470,-12.701 2.927 78.795,Default structural exterior facet
