face_index,source_group,source_panel_id,assignment
0,MANQ001-A,MANQ001,removable_glow
1,MANQ001-B,MANQ001,removable_glow
2,MANQ002-A,MANQ002,left_upper_head
3,MANQ002-B,MANQ002,left_upper_head
4,MANQ003-A,MANQ003,right_upper_head
5,MANQ003-B,MANQ003,right_upper_head
6,QUAD001-A,QUAD001,removable_glow
7,QUAD001-B,QUAD001,removable_glow
8,QUAD002-A,QUAD002,right_lower_face
9,QUAD002-B,QUAD002,right_lower_face
10,QUAD003-A,QUAD003,removable_glow
11,QUAD003-B,QUAD003,removable_glow
12,QUAD004-A,QUAD004,left_lower_face
13,QUAD004-B,QUAD004,left_lower_face
14,QUAD005-A,QUAD005,removable_glow
15,QUAD005-B,QUAD005,removable_glow
16,QUAD006-A,QUAD006,right_lower_face
17,QUAD006-B,QUAD006,right_lower_face
18,QUAD008-A,QUAD008,right_ear
19,QUAD008-B,QUAD008,right_ear
20,QUAD013-A,QUAD013,right_lower_face
21,QUAD013-B,QUAD013,right_lower_face
22,QUAD014-A,QUAD014,right_lower_face
23,QUAD014-B,QUAD014,right_lower_face
24,QUAD017-A,QUAD017,removable_glow
25,QUAD017-B,QUAD017,removable_glow
26,QUAD018-A,QUAD018,right_upper_head
27,QUAD018-B,QUAD018,right_upper_head
28,QUAD021-A,QUAD021,removable_glow
29,QUAD021-B,QUAD021,removable_glow
30,QUAD022-A,QUAD022,removable_glow
31,QUAD022-B,QUAD022,removable_glow
32,QUAD023-A,QUAD023,left_lower_face
33,QUAD023-B,QUAD023,left_lower_face
34,QUAD025-A,QUAD025,left_ear
35,QUAD025-B,QUAD025,left_ear
36,QUAD027-A,QUAD027,left_lower_face
37,QUAD027-B,QUAD027,left_lower_face
38,QUAD028-A,QUAD028,left_lower_face
39,QUAD028-B,QUAD028,left_lower_face
40,QUAD031-A,QUAD031,removable_glow
41,QUAD031-B,QUAD031,removable_glow
42,QUAD032-A,QUAD032,left_upper_head
43,QUAD032-B,QUAD032,left_upper_head
44,QUAD035-A,QUAD035,removable_glow
45,QUAD035-B,QUAD035,removable_glow
46,QUAD036-A,QUAD036,right_upper_head
47,QUAD036-B,QUAD036,right_upper_head
48,TRI001,TRI001,removable_glow
49,TRI002,TRI002,removable_glow
50,TRI003,TRI003,removable_glow
51,TRI004,TRI004,removable_glow
52,TRI005,TRI005,mouth_opening
53,TRI006,TRI006,mouth_opening
54,TRI007,TRI007,right_lower_face
55,TRI008,TRI008,left_lower_face
56,TRI009,TRI009,left_lower_face
57,TRI010,TRI010,right_ear
58,TRI011,TRI011,right_ear
59,TRI012,TRI012,right_ear
60,TRI013,TRI013,right_upper_head
61,TRI014,TRI014,right_upper_head
62,TRI015,TRI015,right_upper_head
63,TRI016,TRI016,right_upper_head
64,TRI017,TRI017,removable_glow
65,TRI018,TRI018,left_upper_head
66,TRI019,TRI019,left_upper_head
67,TRI020,TRI020,right_lower_face
68,TRI021,TRI021,right_lower_face
69,TRI022,TRI022,right_lower_face
70,TRI025,TRI025,right_upper_head
71,TRI026,TRI026,right_upper_head
72,TRI027,TRI027,removable_glow
73,TRI028,TRI028,right_upper_head
74,TRI029,TRI029,right_lower_face
75,TRI030,TRI030,right_lower_face
76,TRI031,TRI031,removable_glow
77,TRI032,TRI032,removable_glow
78,TRI033,TRI033,right_upper_head
79,TRI034,TRI034,left_upper_head
80,TRI035,TRI035,left_upper_head
81,TRI036,TRI036,right_upper_head
82,TRI037,TRI037,right_upper_head
83,TRI038,TRI038,right_lower_face
84,TRI039,TRI039,right_lower_face
85,TRI040,TRI040,right_lower_face
86,TRI041,TRI041,removable_glow
87,TRI042,TRI042,removable_glow
88,TRI043,TRI043,left_ear
89,TRI044,TRI044,left_ear
90,TRI045,TRI045,left_ear
91,TRI046,TRI046,left_upper_head
92,TRI047,TRI047,left_upper_head
93,TRI048,TRI048,left_lower_face
94,TRI049,TRI049,left_lower_face
95,TRI050,TRI050,left_lower_face
96,TRI053,TRI053,left_upper_head
97,TRI054,TRI054,left_upper_head
98,TRI055,TRI055,removable_glow
99,TRI056,TRI056,left_upper_head
100,TRI057,TRI057,left_lower_face
101,TRI058,TRI058,left_lower_face
102,TRI059,TRI059,left_lower_face
103,TRI060,TRI060,left_lower_face
104,TRI061,TRI061,left_lower_face
105,TRI062,TRI062,left_lower_face
106,TRI063,TRI063,left_upper_head
107,TRI064,TRI064,left_upper_head
108,TRI065,TRI065,right_lower_face
109,MANQ008_RIGHT,MANQ008_RIGHT,right_lower_face
110,MANQ008_LEFT,MANQ008_LEFT,left_lower_face
111,MANQ006_RIGHT,MANQ006_RIGHT,right_lower_face
112,MANQ006_LEFT,MANQ006_LEFT,left_lower_face
113,MANQ007_RIGHT,MANQ007_RIGHT,right_lower_face
114,MANQ007_LEFT,MANQ007_LEFT,left_lower_face
