panel_id,source_panel_id,panel_type,zone,selection_reason,node_ids,edge_ids,computed_edge_lengths_mm,area_mm2,perimeter_mm,planarity_error_mm,max_constraint_risk,cut_recommendation,sheet_id,sheet_x_mm,sheet_y_mm,template_width_mm,template_height_mm,rotated_on_sheet
QUAD004-A,QUAD004,triangle,center_face,approved_obj_coherent_surface,P003 P040 P034,E040 E041 E042,31.76 11.81 32.75,186.64,76.32,0.0,3,single_piece_ok,S01,18.0,18.0,47.76,27.75,no
QUAD002-A,QUAD002,triangle,center_face,approved_obj_coherent_surface,P002 P011 P003,E028 E032 E033,11.81 31.59 32.64,185.76,76.05,0.0,3,single_piece_ok,S01,73.758,18.0,27.81,47.45,no
QUAD004-B,QUAD004,triangle,center_face,approved_obj_coherent_surface,P003 P034 P059,E042 E043 E034,32.75 13.48 29.79,200.73,76.01,0.0,3,single_piece_ok,S01,109.572,18.0,48.75,28.26,no
QUAD002-B,QUAD002,triangle,center_face,approved_obj_coherent_surface,P002 P003 P059,E033 E034 E035,32.64 29.79 13.48,200.73,75.91,0.0,3,single_piece_ok,S01,166.32,18.0,48.64,28.3,no
QUAD022-A,QUAD022,triangle,center_face,approved_obj_coherent_surface,P033 P034 P040,E005 E041 E077,43.48 11.81 45.85,256.23,101.15,0.0,3,single_piece_ok,S01,18.0,73.446,60.31,27.79,no
QUAD001-A,QUAD001,triangle,center_face,approved_obj_coherent_surface,P001 P002 P011,E002 E028 E029,43.48 11.81 45.85,256.23,101.15,0.0,0,single_piece_ok,S01,86.311,73.446,60.31,27.79,no
MANQ001-B,MANQ001,triangle,center_face,approved_obj_coherent_surface,P033 P002 P034,E003 E004 E005,50.95 26.95 43.48,585.99,121.38,0.0,1,single_piece_ok,S01,154.622,73.446,66.95,39.0,no
MANQ001-A,MANQ001,triangle,center_face,approved_obj_coherent_surface,P033 P001 P002,E001 E002 E003,26.16 43.48 50.95,568.64,120.59,0.0,1,single_piece_ok,S01,229.57,73.446,42.55,59.48,no
TRI004,TRI004,triangle,center_face,approved_obj_coherent_surface,P001 P022 P033,E117 E119 E001,23.84 23.84 26.16,260.70,73.84,0.0,2,single_piece_ok,S01,18.0,140.927,39.84,37.87,no
TRI032,TRI032,triangle,center_face,approved_obj_coherent_surface,P022 P033 P039,E119 E152 E151,23.84 53.56 42.15,485.20,119.56,0.0,4,single_piece_ok,S01,65.841,140.927,50.82,56.7,no
