edge_id,panel_id,panel_type,zone,first_batch,edge_index,node_a,node_b,edge_length_mm,matching_panel_ids,matching_edge_indexes,matching_zones,match_count,candidate_boundary
E001,MANQ001-A,triangle,center_face,yes,1,P033,P001,26.16,TRI004,3,center_face,1,no
E002,MANQ001-A,triangle,center_face,yes,2,P001,P002,43.48,QUAD001-A,1,center_face,1,no
E003,MANQ001-A,triangle,center_face,yes,3,P002,P033,50.95,MANQ001-B,1,center_face,1,no
E003,MANQ001-B,triangle,center_face,yes,1,P033,P002,50.95,MANQ001-A,3,center_face,1,no
E004,MANQ001-B,triangle,center_face,yes,2,P002,P034,26.95,,,,0,yes
E005,MANQ001-B,triangle,center_face,yes,3,P034,P033,43.48,QUAD022-A,1,center_face,1,no
E006,MANQ002-A,triangle,forehead,yes,1,P024,P010,30.1,MANQ003-A,1,forehead,1,no
E007,MANQ002-A,triangle,forehead,yes,2,P010,P053,42.32,TRI019,3,forehead,1,no
E008,MANQ002-A,triangle,forehead,yes,3,P053,P024,51.21,MANQ002-B,1,forehead,1,no
E008,MANQ002-B,triangle,forehead,yes,1,P024,P053,51.21,MANQ002-A,3,forehead,1,no
E009,MANQ002-B,triangle,forehead,yes,2,P053,P054,17.76,TRI044,2,ear_or_outer_top,1,no
E010,MANQ002-B,triangle,forehead,yes,3,P054,P024,39.48,TRI034,1,forehead,1,no
E006,MANQ003-A,triangle,forehead,yes,1,P024,P010,30.1,MANQ002-A,1,forehead,1,no
E011,MANQ003-A,triangle,forehead,yes,2,P010,P027,42.51,TRI014,2,forehead,1,no
E012,MANQ003-A,triangle,forehead,yes,3,P027,P024,50.98,MANQ003-B,1,forehead,1,no
E012,MANQ003-B,triangle,forehead,yes,1,P024,P027,50.98,MANQ003-A,3,forehead,1,no
E013,MANQ003-B,triangle,forehead,yes,2,P027,P028,17.76,TRI011,2,ear_or_outer_top,1,no
E014,MANQ003-B,triangle,forehead,yes,3,P028,P024,39.22,TRI033,1,forehead,1,no
E015,MANQ006-A,triangle,back,yes,1,P070,P063,80.0,,,,0,yes
E016,MANQ006-A,triangle,back,yes,2,P063,P060,54.7,TRI062,3,back,1,no
E017,MANQ006-A,triangle,back,yes,3,P060,P070,78.69,MANQ006-B,1,back,1,no
E017,MANQ006-B,triangle,back,yes,1,P070,P060,78.69,MANQ006-A,3,back,1,no
E018,MANQ006-B,triangle,back,yes,2,P060,P072,40.0,MANQ007-A,1,bottom,1,no
E019,MANQ006-B,triangle,back,yes,3,P072,P070,54.7,TRI065,3,back,1,no
E018,MANQ007-A,triangle,bottom,yes,1,P072,P060,40.0,MANQ006-B,2,back,1,no
E020,MANQ007-A,triangle,bottom,yes,2,P060,P057,50.71,TRI058,2,left_cheek,1,no
E021,MANQ007-A,triangle,bottom,yes,3,P057,P072,85.53,MANQ007-B,1,bottom,1,no
E021,MANQ007-B,triangle,bottom,yes,1,P072,P057,85.53,MANQ007-A,3,bottom,1,no
E022,MANQ007-B,triangle,bottom,yes,2,P057,P031,118.59,MANQ008-A,1,bottom,1,no
E023,MANQ007-B,triangle,bottom,yes,3,P031,P072,50.71,TRI040,3,back,1,no
E022,MANQ008-A,triangle,bottom,yes,1,P057,P031,118.59,MANQ007-B,2,bottom,1,no
E024,MANQ008-A,triangle,bottom,yes,2,P031,P005,110.72,,,,0,yes
E025,MANQ008-A,triangle,bottom,yes,3,P005,P057,131.28,MANQ008-B,1,bottom,1,no
E025,MANQ008-B,triangle,bottom,yes,1,P057,P005,131.28,MANQ008-A,3,bottom,1,no
E026,MANQ008-B,triangle,bottom,yes,2,P005,P035,41.96,TRI008,2,bottom,1,no
E027,MANQ008-B,triangle,bottom,yes,3,P035,P057,110.72,,,,0,yes
E002,QUAD001-A,triangle,center_face,yes,1,P001,P002,43.48,MANQ001-A,2,center_face,1,no
E028,QUAD001-A,triangle,center_face,yes,2,P002,P011,11.81,QUAD002-A,1,center_face,1,no
E029,QUAD001-A,triangle,center_face,yes,3,P011,P001,45.85,QUAD001-B,1,right_cheek,1,no
E029,QUAD001-B,triangle,right_cheek,yes,1,P001,P011,45.85,QUAD001-A,3,center_face,1,no
E030,QUAD001-B,triangle,right_cheek,yes,2,P011,P015,39.45,TRI020,3,right_cheek,1,no
E031,QUAD001-B,triangle,right_cheek,yes,3,P015,P001,14.74,TRI003,1,right_cheek,1,no
E028,QUAD002-A,triangle,center_face,yes,1,P002,P011,11.81,QUAD001-A,2,center_face,1,no
E032,QUAD002-A,triangle,center_face,yes,2,P011,P003,31.59,QUAD003-A,1,right_cheek,1,no
E033,QUAD002-A,triangle,center_face,yes,3,P003,P002,32.64,QUAD002-B,1,center_face,1,no
E033,QUAD002-B,triangle,center_face,yes,1,P002,P003,32.64,QUAD002-A,3,center_face,1,no
E034,QUAD002-B,triangle,center_face,yes,2,P003,P059,29.79,QUAD004-B,3,center_face,1,no
