view,node_id,x_px,y_px,snap_count,degree,node_source,symmetry_candidate_id,notes
Front,F001,732.276,275.108,4,4,trace,,
Front,F002,729.361,373.948,2,2,trace,,
Front,F003,437.041,392.736,2,2,trace,,
Front,F004,436.698,398.341,4,4,trace,,
Front,F005,543.093,409.765,2,2,trace,,
Front,F006,594.263,421.605,1,1,trace,,
Front,F007,550.733,424.982,4,4,trace,,
Front,F008,636.265,429.876,3,3,trace,,
Front,F009,568.813,468.122,2,2,trace,,
Front,F010,436.748,497.957,3,3,trace,,
Front,F011,517.98,498.842,7,7,trace,,
Front,F012,667.128,520.085,5,5,trace,,
Front,F013,694.356,527.936,2,2,trace,,
Front,F014,640.439,567.084,7,7,trace,,
Front,F015,672.506,569.959,1,1,trace,,
Front,F016,526.941,588.1,4,4,trace,,
Front,F017,436.875,589.85,4,4,trace,,
Front,F018,395.842,633.915,3,3,trace,,
Front,F019,476.853,635.267,6,6,trace,,
Front,F020,592.797,640.419,3,3,trace,,
Front,F021,505.452,665.552,7,7,trace,,
Front,F022,642.156,681.37,5,5,trace,,
Front,F023,679.932,682.235,3,3,trace,,
Front,F024,684.31,689.963,2,2,trace,,
Front,F025,395.526,726.633,3,3,trace,,
Front,F026,477.576,729.785,3,3,trace,,
Front,F027,437.096,741.55,3,3,trace,,
Front,F028,602.744,744.471,4,4,trace,,
Front,F029,501.241,752.099,4,4,trace,,
Front,F030,371.536,754.356,2,2,trace,,
Front,F031,567.879,771.784,4,4,trace,,
Front,F032,618.01,798.354,2,2,trace,,
Front,F033,436.638,799.735,2,2,trace,,
Front,F034,436.536,818.092,6,6,trace,,
Front,F035,611.005,818.488,3,3,trace,,
Front,F036,576.322,829.88,2,2,trace,,
Front,F037,564.301,840.024,3,3,trace,,
Front,F038,436.789,853.67,3,3,trace,,
Front,F039,554.417,867.377,3,3,trace,,
Front,F040,355.574,871.209,3,3,trace,,
Front,F041,516.985,873.351,5,5,trace,,
Front,F042,378.685,910.102,2,2,trace,,
Front,F043,493.361,910.227,3,3,trace,,
Side,S001,1985.324,276.053,3,3,trace,,
Side,S002,2037.027,342.327,2,2,trace,,
Side,S003,2073.419,420.132,1,1,trace,,
Side,S004,1928.035,427.918,3,3,trace,,
Side,S005,2002.428,432.12,1,1,trace,,
Side,S006,1944.031,443.808,2,2,trace,,
