rod_id,node_a,node_b,source_views,source_edges,constraint_quality,rod_color
PSR001,P001,P002,Front Side Top,Front:FE017 Side:SE014 Top:TE003,high_confidence,#16a34a
PSR002,P001,P009,Front Side Top,Front:FE050 Side:SE050 Top:TE039,high_confidence,#16a34a
PSR003,P001,P015,Front Side Top,Front:FE041 Side:SE015 Top:TE013,high_confidence,#16a34a
PSR004,P001,P019,Front Side Top,Front:FE048 Side:SE022 Top:TE040,high_confidence,#16a34a
PSR005,P001,P022,Front Top,Front:FE052 Top:TE014,manual_partial,#64748b
PSR006,P001,P033,Front Top,Front:FE016 Top:TE004,symmetry_traced,#2563eb
PSR007,P002,P011,Front Side,Front:FE025 Side:SE010,high_confidence,#16a34a
PSR008,P002,P059,ManualEdit,manual:F027-F026,moderate_estimate,#f59e0b
PSR009,P003,P004,Front Side,Front:FE008 Side:SE044,manual_partial,#64748b
PSR010,P003,P011,Front Side Top,Front:FE020 Side:SE001 Top:TE006,high_confidence,#16a34a
PSR011,P003,P013,Front Side Top,Front:FE006 Side:SE004 Top:TE024,high_confidence,#16a34a
PSR012,P003,P040,Front Top,Front:FE021 Top:TE009,symmetry_traced,#2563eb
PSR013,P003,P042,Front Top,Front:FE007 Top:TE023,symmetry_traced,#2563eb
PSR014,P003,P059,ManualEdit,manual:F034-F027,moderate_estimate,#f59e0b
PSR015,P004,P005,Side,Side:SE042,manual_partial,#64748b
PSR016,P004,P013,Front Side,Front:FE005 Side:SE041,manual_partial,#64748b
PSR017,P004,P035,ManualEdit,manual:F038-F042,heavy_estimate,#dc2626
PSR018,P004,P042,Front,Front:FE004,manual_partial,#64748b
PSR019,P005,P013,Front,Front:FE001,manual_partial,#64748b
PSR020,P005,P029,Front,Front:FE009,manual_partial,#64748b
PSR021,P005,P035,Front,Front:FE002,heavy_estimate,#dc2626
PSR022,P007,P008,Front Side Top,Front:FE071 Side:SE013 Top:TE051,high_confidence,#16a34a
PSR023,P007,P025,Front Top,Front:FE067 Top:TE053,manual_partial,#64748b
PSR024,P007,P027,ManualEdit,manual-ear-base-crease:P007-P027,high_confidence,#16a34a
PSR025,P007,P028,Front Top,Front:FE069 Top:TE052,manual_partial,#64748b
PSR026,P007,P069,ManualEdit,manual-coordinate-connect:P069-P007,heavy_estimate,#dc2626
PSR027,P008,P027,ManualEdit,manual-ear-base-split:P008-P027,high_confidence,#16a34a
