view,edge_id,node_a,node_b,mapped_a,mapped_b,reason
Front,FE023,F025,F027,P034,,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE024,F027,F026,,P002,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE027,F033,F034,,P003,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE029,F028,F036,P014,,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE032,F023,F036,P020,,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE060,F012,F008,P026,,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE061,F008,F003,,P024,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE066,F013,F002,,P025,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE068,F001,F008,P007,,one_endpoint_unmapped_or_side_reuse_suppressed
Front,FE072,F006,F012,,P026,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE001,T034,T035,P034,,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE002,T035,T033,,P002,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE007,T032,T035,P011,,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE008,T035,T031,,P040,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE055,T013,T009,P026,,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE056,T011,T013,,P026,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE057,T007,T004,P028,,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE058,T004,T002,,P007,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE060,T001,T003,,P024,one_endpoint_unmapped_or_side_reuse_suppressed
Top,TE061,T003,T006,P024,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE005,S001,S013,P007,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE008,S002,S001,,P007,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE012,S006,S008,,P008,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE039,S034,S037,P029,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE040,S037,S035,,P013,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE043,S038,S037,P005,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE048,S024,S029,P021,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE049,S029,S031,,P031,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE058,S012,S015,P026,,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE059,S015,S024,,P021,one_endpoint_unmapped_or_side_reuse_suppressed
Side,SE060,S024,S019,P021,,one_endpoint_unmapped_or_side_reuse_suppressed
