panel_id,panel_type,status,node_ids,rod_ids,edge_lengths_mm,area_mm2,perimeter_mm,min_edge_mm,max_edge_mm,planarity_error_mm,max_constraint_risk,center_x_mm,center_y_depth_mm,center_z_up_mm,normal_x,normal_y,normal_z,notes
MANQ008,quad,manual_candidate_review,P057 P031 P005 P035,virtual:P031-P057 virtual:P005-P031 PSR021 virtual:P035-P057,118.59 110.72 41.96 110.72,8338.44,381.98,41.96,118.59,0.0,4,0.0,9.25,-94.042,0.0,0.30725,-0.95163,reviewer requested bottom panel lower band; P005 forced to mirror P035
MANQ006,quad,manual_candidate_review,P070 P063 P060 P072,virtual:P063-P070 PSR149 PSR150 PSR161,80.00 54.70 40.00 54.70,3054.82,229.4,40.0,80.0,0.0,4,0.0,100.656,-44.261,0.0,-0.88143,0.47231,reviewer requested rear/bottom symmetry quad from coordinate feedback
QUAD018,quad,candidate_review,P021 P026 P067 P071,PSR062 PSR078 PSR158 PSR065,57.48 66.52 49.58 45.51,2902.43,219.09,45.51,66.52,2.282,4,69.2,76.828,-3.009,-0.86663,-0.42995,-0.25316,
QUAD032,quad,candidate_review,P050 P052 P064 P062,PSR130 PSR137 PSR152 PSR134,57.48 66.52 49.58 45.51,2902.43,219.09,45.51,66.52,2.282,4,-69.2,76.828,-3.009,-0.86663,0.42995,0.25316,
QUAD021,quad,candidate_review,P026 P067 P028 P069,PSR078 PSR081 PSR082 PSR079,66.52 64.12 44.88 45.54,2877.06,221.06,44.88,66.52,0.0,4,56.079,64.396,34.939,0.71678,0.24309,0.65356,
QUAD035,quad,candidate_review,P052 P064 P054 P066,PSR137 PSR140 PSR141 PSR138,66.52 64.12 44.88 45.54,2877.06,221.06,44.88,66.52,0.0,4,-56.079,64.396,34.939,0.71678,-0.24309,-0.65356,
QUAD017,quad,candidate_review,P020 P021 P032 P030,PSR059 PSR064 PSR086 PSR061,62.21 51.99 51.38 67.24,2675.1,232.82,51.38,67.24,5.8,2,67.933,23.827,-55.497,-0.85856,0.07763,0.5068,
QUAD031,quad,candidate_review,P049 P050 P058 P056,PSR127 PSR132 PSR145 PSR129,62.21 51.99 51.38 67.24,2675.1,232.82,51.38,67.24,5.8,4,-67.933,23.827,-55.497,-0.85856,-0.07763,-0.5068,
MANQ007,quad,manual_candidate_review,P072 P060 P057 P031,PSR150 PSR147 virtual:P031-P057 PSR089,40.00 50.71 118.59 50.71,2541.3,260.01,40.0,118.59,0.0,4,0.0,73.654,-72.392,0.0,-0.35528,0.93476,reviewer requested bottom panel upper band from coordinate feedback
QUAD008,quad,candidate_review,P007 P025 P026 P069,PSR023 PSR076 PSR079 PSR026,35.79 63.37 45.54 92.39,2520.52,237.1,35.79,92.39,6.705,4,84.769,51.969,58.249,0.56458,0.80345,-0.18898,
QUAD025,quad,candidate_review,P037 P051 P052 P066,PSR099 PSR135 PSR138 PSR102,35.79 63.37 45.54 92.39,2520.52,237.1,35.79,92.39,6.705,4,-84.769,51.969,58.249,0.56458,-0.80345,0.18898,
QUAD019,quad,candidate_review,P026 P027 P028 P067,PSR077 PSR080 PSR081 PSR078,60.61 17.76 64.12 66.52,2387.98,209.01,17.76,66.52,15.339,4,52.686,53.207,41.145,-0.72866,0.0297,-0.68423,
QUAD033,quad,candidate_review,P052 P053 P054 P064,PSR136 PSR139 PSR140 PSR137,60.61 17.76 64.12 66.52,2387.98,209.01,17.76,66.52,15.339,4,-52.686,53.207,41.145,-0.72866,-0.0297,0.68423,
