view,edge_id,node_a,node_b,length_px,angle_deg_from_x,source_path_id
Front,FE001,F041,F043,43.911,-122.71,FP001
Front,FE002,F043,F042,114.391,-180.0,FP001
Front,FE003,F042,F040,45.188,120.71,FP001
Front,FE004,F040,F038,82.831,12.32,FP001
Front,FE005,F038,F041,82.628,-13.71,FP001
Front,FE006,F041,F034,97.554,145.35,FP002
Front,FE007,F034,F040,96.928,-146.55,FP002
Front,FE008,F034,F038,36.615,-88.87,FP003
Front,FE009,F043,F039,74.137,35.38,FP004
Front,FE010,F039,F037,29.087,70.2,FP004
Front,FE011,F037,F041,57.919,-144.49,FP004
Front,FE012,F039,F035,74.547,40.87,FP005
Front,FE013,F035,F032,21.138,70.25,FP005
Front,FE014,F032,F037,67.668,-142.33,FP005
Front,FE015,F025,F018,92.105,89.46,FP006
Front,FE016,F018,F019,80.689,-1.66,FP006
Front,FE017,F019,F026,93.533,-89.48,FP006
Front,FE018,F041,F031,113.341,63.63,FP007
Front,FE019,F031,F029,69.192,163.11,FP007
Front,FE020,F029,F034,93.367,-134.18,FP007
Front,FE021,F034,F030,91.6,135.32,FP007
Front,FE022,F030,F025,36.6,48.61,FP007
Front,FE023,F025,F027,43.953,-19.48,FP007
Front,FE024,F027,F026,42.14,16.28,FP007
Front,FE025,F026,F029,31.488,-45.1,FP007
Front,FE026,F027,F033,58.198,-90.31,FP008
Front,FE027,F033,F034,18.627,-90.3,FP008
Front,FE028,F031,F028,44.286,37.93,FP009
Front,FE029,F028,F036,89.932,-107.44,FP009
Front,FE030,F028,F022,74.233,57.57,FP010
Front,FE031,F022,F023,37.474,-1.28,FP010
Front,FE032,F023,F036,179.901,-124.95,FP010
Front,FE033,F035,F024,148.241,60.49,FP011
Front,FE034,F024,F012,170.607,95.92,FP011
Front,FE035,F012,F014,53.553,-119.05,FP011
Front,FE036,F014,F023,121.967,-71.04,FP011
Front,FE037,F022,F014,114.318,91.14,FP012
Front,FE038,F014,F020,87.42,-122.63,FP012
Front,FE039,F020,F022,64.01,-39.45,FP012
Front,FE040,F029,F021,87.318,87.4,FP013
Front,FE041,F021,F019,42.132,132.58,FP013
Front,FE042,F031,F021,122.956,120.46,FP014
Front,FE043,F021,F028,125.675,-39.21,FP014
Front,FE044,F022,F021,137.292,173.37,FP015
Front,FE045,F021,F016,80.645,74.38,FP015
Front,FE046,F016,F014,114.524,10.52,FP015
Front,FE047,F020,F021,90.702,-164.22,FP016
Front,FE048,F019,F016,68.699,43.35,FP017
Front,FE049,F016,F011,89.833,95.79,FP017
Front,FE050,F011,F019,142.524,-106.67,FP017
Front,FE051,F018,F017,60.292,46.62,FP018
Front,FE052,F017,F019,59.679,-47.67,FP018
Front,FE053,F017,F010,91.723,89.99,FP019
Front,FE054,F010,F011,80.998,-0.66,FP019
Front,FE055,F011,F017,121.681,-131.74,FP019
Front,FE056,F011,F014,140.613,-29.05,FP020
Front,FE057,F014,F007,168.069,122.41,FP020
Front,FE058,F007,F011,80.594,-114.04,FP020
Front,FE059,F007,F012,151.277,-39.22,FP021
Front,FE060,F012,F008,95.862,109.1,FP021
Front,FE061,F008,F003,202.756,169.46,FP021
Front,FE062,F003,F004,5.518,-91.62,FP021
Front,FE063,F004,F007,116.717,-13.12,FP021
Front,FE064,F004,F011,130.431,-50.7,FP022
Front,FE065,F015,F013,47.364,62.53,FP023
Front,FE066,F013,F002,157.917,77.19,FP023
Front,FE067,F002,F001,97.996,88.25,FP023
Front,FE068,F001,F008,181.631,-122.02,FP023
Front,FE069,F001,F005,232.665,-144.37,FP024
Front,FE070,F005,F009,63.773,-66.22,FP024
Front,FE071,F009,F001,253.56,49.88,FP024
Front,FE072,F006,F012,121.452,-53.39,FP025
Front,FE073,F010,F004,98.86,89.89,FP026
Top,TE001,T034,T035,39.547,-14.49,TP001
Top,TE002,T035,T033,34.014,17.58,TP001
Top,TE003,T033,T025,82.263,90.98,TP001
Top,TE004,T025,T026,65.036,-179.74,TP001
Top,TE005,T026,T034,82.44,-92.97,TP001
Top,TE006,T038,T032,60.006,32.51,TP002
Top,TE007,T032,T035,50.609,-163.76,TP002
Top,TE008,T035,T031,54.879,163.78,TP002
Top,TE009,T031,T038,60.713,-33.41,TP002
Top,TE010,T024,T021,129.32,14.03,TP003
Top,TE011,T021,T027,60.98,-131.12,TP003
Top,TE012,T027,T024,86.888,170.78,TP003
Top,TE013,T024,T025,23.308,-162.52,TP003
Top,TE014,T025,T022,41.96,142.4,TP003
Top,TE015,T022,T026,40.754,-141.31,TP003
Top,TE016,T026,T023,23.548,159.72,TP003
Top,TE017,T023,T028,84.918,-169.56,TP003
Top,TE018,T028,T029,59.735,-59.1,TP003
Top,TE019,T029,T031,59.494,-19.32,TP003
Top,TE020,T031,T023,85.389,92.21,TP003
Top,TE021,T023,T029,85.584,-128.19,TP003
Top,TE022,T029,T037,55.589,-43.43,TP003
Top,TE023,T037,T038,70.578,-13.17,TP003
Top,TE024,T038,T036,70.577,14.63,TP003
Top,TE025,T036,T030,51.169,44.77,TP003
Top,TE026,T030,T024,84.44,127.14,TP003
Top,TE027,T024,T032,85.323,-93.86,TP003
Top,TE028,T032,T030,59.793,17.85,TP003
Top,TE029,T030,T027,63.118,57.17,TP003
Top,TE030,T021,T015,54.106,94.41,TP004
Top,TE031,T015,T019,59.745,-131.81,TP004
Top,TE032,T019,T021,44.985,-12.08,TP004
Top,TE033,T019,T024,92.354,-152.48,TP005
Top,TE034,T018,T012,116.795,90.0,TP006
Top,TE035,T012,T017,132.678,-58.49,TP006
Top,TE036,T017,T018,69.144,-177.1,TP006
Top,TE037,T018,T022,59.66,-89.98,TP006
Top,TE038,T022,T017,93.566,42.19,TP006
Top,TE039,T017,T025,95.269,-112.63,TP006
Top,TE040,T025,T020,57.274,45.03,TP006
Top,TE041,T020,T017,47.644,94.19,TP006
Top,TE042,T017,T015,107.525,3.44,TP006
Top,TE043,T015,T020,117.142,-152.15,TP006
Top,TE044,T017,T010,139.331,70.05,TP007
Top,TE045,T010,T015,139.035,-64.19,TP007
Top,TE046,T015,T013,103.909,63.18,TP007
Top,TE047,T013,T016,95.219,-95.24,TP007
Top,TE048,T016,T021,62.953,-122.32,TP007
Top,TE049,T015,T016,38.656,-0.39,TP008
Top,TE050,T007,T014,90.312,-73.29,TP009
Top,TE051,T014,T002,187.352,41.95,TP009
Top,TE052,T002,T007,169.784,-166.81,TP009
Top,TE053,T002,T008,47.695,-82.81,TP010
Top,TE054,T008,T013,82.866,-124.65,TP010
Top,TE055,T013,T009,60.833,111.24,TP010
Top,TE056,T011,T013,65.839,-19.61,TP011
Top,TE057,T007,T004,68.398,24.59,TP012
Top,TE058,T004,T002,102.137,6.27,TP012
Top,TE059,T005,T001,129.989,164.92,TP013
Top,TE060,T001,T003,8.289,-85.03,TP013
Top,TE061,T003,T006,120.675,-14.62,TP013
Top,TE062,T007,T003,107.234,159.09,TP014
Top,TE063,T003,T012,100.386,-90.96,TP014
Top,TE064,T012,T010,117.322,7.91,TP014
Side,SE001,S032,S027,67.705,80.93,SP001
Side,SE002,S027,S028,39.259,-29.69,SP001
Side,SE003,S028,S035,99.052,-87.17,SP001
Side,SE004,S035,S032,71.559,133.95,SP001
Side,SE005,S001,S013,255.958,-82.7,SP002
Side,SE006,S013,S007,103.255,49.58,SP002
Side,SE007,S007,S002,119.014,113.59,SP002
Side,SE008,S002,S001,84.077,128.05,SP002
Side,SE009,S032,S025,87.958,105.95,SP003
Side,SE010,S025,S027,39.207,-23.95,SP003
Side,SE011,S005,S006,59.556,-168.68,SP004
Side,SE012,S006,S008,57.546,-154.28,SP004
Side,SE013,S008,S001,214.285,64.16,SP004
Side,SE014,S025,S017,132.927,46.19,SP005
Side,SE015,S017,S021,37.558,-53.48,SP005
Side,SE016,S021,S027,114.978,-133.38,SP005
